date,open,high,low,close,volume
2023-08-16,1682.16,1697.93,1680.58,1694.58,13184
2023-08-17,1680.66,1708.58,1676.13,1702.63,17290
2023-08-18,1706.57,1709.57,1677.17,1677.17,17023
2023-08-21,1667.58,1688.57,1664.65,1665.58,18912
2023-08-22,1675.57,1677.14,1645.6,1662.58,26650
2023-08-23,1671.58,1674.58,1644.66,1648.58,19912
2023-08-24,1654.2,1702.58,1649.58,1690.88,26055
2023-08-25,1683.37,1712.35,1680.59,1699.56,18831
2023-08-28,1773.16,1773.16,1706.46,1709.55,41052
2023-08-29,1702.58,1743.66,1702.58,1725.91,28950
2023-08-30,1742.48,1742.58,1718.24,1730.58,19812
2023-08-31,1734.58,1734.58,1715.59,1721.58,14820
2023-09-01,1727.41,1740.05,1720.61,1725.63,13145
2023-09-04,1737.18,1754.52,1728.11,1740.58,23871
2023-09-05,1742.58,1742.58,1731.38,1733.28,15659
2023-09-06,1732.58,1741.24,1723.59,1735.58,11121
2023-09-07,1727.18,1731.47,1705.77,1712.58,16982
2023-09-08,1709.52,1709.52,1689.53,1693.08,12212
2023-09-11,1682.58,1714.58,1682.58,1696.75,15926
2023-09-12,1701.18,1701.56,1690.6,1694.54,12168
2023-09-13,1704.5,1704.5,1674.63,1694.49,19501
2023-09-14,1697.11,1701.56,1680.58,1693.27,17505
2023-09-15,1693.58,1694.36,1655.88,1656.57,28431
2023-09-18,1650.89,1704.08,1647.58,1703.78,32559
2023-09-19,1696.78,1703.58,1682.58,1701.52,14990
2023-09-20,1696.58,1704.58,1692.63,1698.58,12502
2023-09-21,1692.59,1696.58,1672.97,1672.97,19489
2023-09-22,1680.21,1724.54,1666.99,1723.58,34390
2023-09-25,1722.08,1722.58,1701.17,1706.96,13979
2023-09-26,1702.58,1709.46,1687.68,1690.58,15762
2023-09-27,1689.58,1708.08,1677.38,1688.58,20880
2023-09-28,1699.56,1699.56,1672.38,1673.13,20538
2023-10-09,1671.52,1671.52,1639.48,1651.58,29763
2023-10-10,1657.47,1673.56,1642.58,1644.58,20284
2023-10-11,1659.23,1659.23,1642.58,1653.08,21945
2023-10-12,1672.48,1672.81,1651.78,1660.58,14865
